@relation DATOS_HORNO_ENTRENA

@attribute CODBOB numeric
@attribute CLASACERO {B011F97,B100F55,K011F57,B102G33,B100F33,B085G99,C107G55,D071F55,B085F97,B102G55,B012F53,B105F55,B011B99,D094B33,C115G55,D012G99,C116G55,D012F55,B120G55,C114G55,K011B55,B025F55,B016F35,B013B55,B103G55,B103G33,D032F55,D031B33,B101F55,D094G55,B012F55,B081B99,B014F53,B012B97,X100G99,K021H53,B044H53,N013H53,B042H53,B023H53,K022H53,N017B97,B013C55,B032H53,K021H43,B100B95}
@attribute ANCHO numeric
@attribute ESPESOR numeric
@attribute LARGO numeric
@attribute PESO numeric
@attribute VELMED numeric
@attribute TMPP1 numeric
@attribute TMPP2 numeric
@attribute TMPP2CNG numeric
@attribute THC1 numeric
@attribute THC3 numeric
@attribute THC5 numeric

@data
23333022,B012F53,1250,0.6,3730,21510,130,226,751,750,767,797,812
23333023,B012F53,1250,0.6,3775,21730,130,226,751,750,767,797,812
23333024,B012F53,1250,0.6,3761,21690,125,233,750,750,759,789,803
23333025,B012F53,1250,0.6,3756,21700,129,229,757,750,767,797,812
23333026,B012F53,1250,0.6,3706,21610,130,234,752,750,767,797,812
23333027,B012F53,1250,0.6,3685,21480,130,232,751,750,766,796,811
23333028,B012F53,1250,0.6,3498,20350,130,233,750,750,766,796,811
23333029,B012F53,1250,0.5,4511,21510,132,225,746,750,745,776,795
23333030,B012F53,1250,0.5,4612,22060,133,227,749,750,747,777,797
23333031,B025F55,1250,0.5,4621,22060,133,223,751,750,746,776,796
23333032,B012F53,1250,0.5,4572,21820,133,227,750,750,748,778,797
23333033,B025F55,1250,0.5,3882,18660,133,231,751,750,747,777,796
23333034,B025F55,1250,0.5,4147,19950,133,231,750,750,748,777,795
23333035,B025F55,1250,0.5,4566,21900,133,224,752,750,747,777,793
23333036,B025F55,1250,0.5,4633,22150,128,230,749,750,741,774,790
23333037,B016F35,1250,0.5,4618,22030,135,232,750,750,750,780,795
23333038,B025F55,1250,0.5,4633,22140,135,232,750,750,749,779,794
23333039,B025F55,1250,0.5,4550,21730,135,230,750,750,750,780,795
23333040,B025F55,1250,0.5,4482,21420,135,223,753,750,751,781,796
23333041,B012F53,1250,0.5,4633,22100,135,225,750,750,750,780,795
23333042,B012F53,1250,0.5,4575,21840,135,224,750,750,750,780,796
23333043,B016F35,1250,0.5,4354,20780,135,227,750,750,750,780,796
23333044,B013B55,1250,0.5,4211,20140,134,228,751,750,749,779,794
23333045,B025F55,1250,0.5,4631,22160,135,225,754,750,749,779,794
23333046,B025F55,1250,0.5,4565,21860,135,225,755,750,749,779,794
23333047,B025F55,1250,0.5,4650,22210,135,231,750,750,749,779,794
23333048,B025F55,1250,0.5,4376,20900,135,230,750,750,749,779,795
23343001,B025F55,1250,0.5,4622,22090,126,223,750,750,744,774,790
23343002,B025F55,1250,0.5,4235,20270,130,223,750,750,746,776,791
23343003,B012F53,1250,0.5,4613,22050,135,223,750,750,750,780,795
23343004,B025F55,1250,0.5,4504,21510,135,226,749,750,750,780,796
23343005,B025F55,1250,0.5,4625,22100,135,227,750,750,750,780,796
23343006,B012F53,1250,0.5,4563,21830,135,227,749,750,751,781,797
23343007,B012F53,1250,0.5,4609,22020,135,228,749,750,752,782,798
23343008,B016F35,1250,0.5,1734,8290,135,227,750,750,752,782,798
23343009,B016F35,1250,0.5,2766,13230,135,228,750,750,752,782,798
23343010,B012F53,1250,0.5,2158,10330,135,238,751,750,752,782,797
23343011,B012F53,1250,0.5,2393,11440,135,238,751,750,752,782,797
23343012,B025F55,1250,0.5,3853,18530,135,232,756,750,758,788,803
23343013,B012F53,1250,0.6,3738,21450,134,231,760,750,770,800,815
23343014,B012F53,1250,0.6,3766,21660,135,229,758,750,771,801,816
23343015,K011B55,1250,0.6,3811,21840,135,235,756,750,771,801,816
23343016,B012F53,1250,0.6,3731,21540,128,228,752,750,763,795,810
23343017,B012F53,1250,0.6,3726,21450,131,229,753,750,766,796,812
23343018,B012F53,1250,0.6,3813,21950,132,230,755,750,767,797,812
23343019,B012F53,1250,0.6,3658,21010,130,230,753,750,764,794,809
23343020,B012F53,1250,0.6,3663,21040,130,233,752,750,764,794,809
23343021,B012F53,1250,0.6,3721,21350,130,230,753,750,764,794,809
23343022,B012F53,1250,0.6,2706,15730,130,238,754,750,760,790,805
23343025,B012F53,1250,0.6,3749,21570,116,229,754,750,758,788,806
23343026,B012F53,1250,0.6,3689,21210,130,228,751,750,764,794,809
23343027,B012F53,1250,0.6,3759,21560,130,231,754,750,763,793,808
23343028,B012F53,1250,0.6,3753,22110,130,230,754,750,763,793,808
23343030,B012F53,1250,0.6,3300,18950,116,229,751,750,753,783,798
23343031,B012F53,1250,0.6,3753,21530,125,229,751,750,758,788,803
23343032,B012F53,1250,0.6,3786,22305,125,226,747,750,759,789,806
23343033,B012F53,1250,0.6,3733,21440,125,229,752,750,759,789,805
23343034,B012F53,1250,0.6,3814,21910,125,228,750,750,756,786,802
23343035,B012F53,1250,0.6,3655,20980,125,231,749,750,758,788,803
23343036,B012F53,1250,0.6,3793,21810,130,230,751,750,762,792,807
23343037,B012F53,1250,0.6,3679,21160,130,232,753,750,762,792,807
23343038,B012F53,1250,0.6,3711,21570,130,236,751,750,762,792,807
23343039,B012F53,1250,0.6,1179,6860,130,234,750,750,762,792,807
23343040,B012F53,1250,0.6,2298,13450,130,234,751,750,762,792,807
23343041,B012F53,1250,0.6,2350,12940,115,234,750,767,751,782,796
23343042,B012F53,1250,0.6,3735,21800,112,234,758,750,754,783,804
23343043,B012F53,1250,0.6,3437,20243,88,230,752,791,743,772,784
23343044,B102G55,1485,0.67,1812,21550,91,238,815,825,800,829,848
23343045,B102G55,1485,0.67,943,7350,130,237,810,832,813,838,864
23343046,B105F55,1333,0.65,3593,25280,118,247,849,850,840,869,892
23343047,B105F55,1301,0.7,3532,25150,130,250,850,854,848,878,902
23343048,B105F55,1301,0.7,3594,25640,130,253,852,855,850,880,905
23343049,B105F55,1301,0.7,3588,25630,130,253,842,835,846,874,895
23343050,B102G55,1485,0.67,1551,17950,130,254,830,825,842,867,883
23343051,B102G55,1485,0.67,840,20590,105,255,834,825,834,861,877
23343052,B105F55,1390,0.86,2232,20830,104,264,849,850,844,874,898
23343053,B105F55,1390,0.86,2232,20700,93,264,853,850,841,871,891
23343054,B105F55,1390,0.86,1996,18450,86,220,850,845,840,870,890
23343055,B105F55,1390,0.86,1141,11170,72,266,849,832,835,865,880
23343056,B100F55,1300,0.97,2129,19900,94,264,839,825,835,865,880
23343057,B100F55,1300,0.97,1153,11290,100,264,824,825,835,865,880
23343058,B100F55,1300,0.97,1165,11707,100,262,823,825,836,866,883
23353001,B100F55,1300,0.97,1120,10950,100,262,825,825,837,867,884
23353002,B100F55,1300,0.97,1154,11260,92,263,832,825,836,866,882
23353003,B100F55,1300,0.97,1183,11550,90,263,834,825,835,865,880
23353004,B100F55,1300,0.97,1191,11610,83,264,829,825,829,859,874
23353005,B100F55,1300,0.97,1178,11510,90,264,833,825,835,865,880
23353006,B100F55,1300,0.97,1159,11290,90,265,834,825,835,865,880
23353007,B100F55,1300,0.97,1140,11120,90,263,833,825,835,865,880
23353008,B100F55,1300,0.97,1196,12019,86,262,827,825,829,859,873
23353009,B103G55,1410,0.97,2086,22070,84,250,778,775,782,814,831
23353010,B103G55,1410,0.97,2217,23230,90,250,777,779,783,813,832
23353011,B102G55,1410,0.97,2260,23680,90,252,780,780,785,815,835
